article_id,entity,predicted_type,title,summary,source,published,corrected_type
427,Department of Defense,ORG,Department of Defense selects LLNL to build telescope for space vehicles,Aim is monolithic “Pathfinder telescope for responsive space mission” set to launch by 2027.,Optics.org – Latest News,"Tue, 29 Jul 2025 16:07:00 GMT",
427,Aim,PERSON,Department of Defense selects LLNL to build telescope for space vehicles,Aim is monolithic “Pathfinder telescope for responsive space mission” set to launch by 2027.,Optics.org – Latest News,"Tue, 29 Jul 2025 16:07:00 GMT",
428,Quantum Cascade,ORG,Fraunhofer IZM reports on Quantum Cascade project to develop modular lasers,Aim is to give SMEs access to new sources for multispectral analytics and business development.,Optics.org – Latest News,"Tue, 29 Jul 2025 16:07:00 GMT",
428,Aim,PERSON,Fraunhofer IZM reports on Quantum Cascade project to develop modular lasers,Aim is to give SMEs access to new sources for multispectral analytics and business development.,Optics.org – Latest News,"Tue, 29 Jul 2025 16:07:00 GMT",
429,Prysmian,NORP,Relativity adds Prysmian support to grow seed funding pot,Additional $6M to support production of hollow-core optical fiber for ultra-high-speed data center connections.,Optics.org – Latest News,"Tue, 29 Jul 2025 15:07:00 GMT",
430,LG Innotek,ORG,LG Innotek revealed as Aeva partner with 'up to' $50M investment,Deal with Korean technology giant should help US startup's advanced lidar technology penetrate broader suite of applications.,Optics.org – Latest News,"Tue, 29 Jul 2025 14:07:00 GMT",
430,Aeva,GPE,LG Innotek revealed as Aeva partner with 'up to' $50M investment,Deal with Korean technology giant should help US startup's advanced lidar technology penetrate broader suite of applications.,Optics.org – Latest News,"Tue, 29 Jul 2025 14:07:00 GMT",
430,Korean,NORP,LG Innotek revealed as Aeva partner with 'up to' $50M investment,Deal with Korean technology giant should help US startup's advanced lidar technology penetrate broader suite of applications.,Optics.org – Latest News,"Tue, 29 Jul 2025 14:07:00 GMT",
430,US,GPE,LG Innotek revealed as Aeva partner with 'up to' $50M investment,Deal with Korean technology giant should help US startup's advanced lidar technology penetrate broader suite of applications.,Optics.org – Latest News,"Tue, 29 Jul 2025 14:07:00 GMT",
431,Trinity College,ORG,Trinity College laser machine probes high-speed impact of micro-particles,Dublin group develops Laser Ablation Particle Acceleration & Observation system to watch 10-60μm particles crashing at 1 km/s.,Optics.org – Latest News,"Mon, 28 Jul 2025 18:07:00 GMT",
431,Dublin,GPE,Trinity College laser machine probes high-speed impact of micro-particles,Dublin group develops Laser Ablation Particle Acceleration & Observation system to watch 10-60μm particles crashing at 1 km/s.,Optics.org – Latest News,"Mon, 28 Jul 2025 18:07:00 GMT",
431,Laser Ablation Particle Acceleration & Observation,ORG,Trinity College laser machine probes high-speed impact of micro-particles,Dublin group develops Laser Ablation Particle Acceleration & Observation system to watch 10-60μm particles crashing at 1 km/s.,Optics.org – Latest News,"Mon, 28 Jul 2025 18:07:00 GMT",
432,Macquarie University,ORG,"Macquarie University narrows laser linewidth for quantum computing, atomic clocks",Technique based on Raman scattering improves on current methods of purifying laser spectrum.,Optics.org – Latest News,"Wed, 23 Jul 2025 22:07:00 GMT",
432,quantum computing,ORG,"Macquarie University narrows laser linewidth for quantum computing, atomic clocks",Technique based on Raman scattering improves on current methods of purifying laser spectrum.,Optics.org – Latest News,"Wed, 23 Jul 2025 22:07:00 GMT",
432,Technique,NORP,"Macquarie University narrows laser linewidth for quantum computing, atomic clocks",Technique based on Raman scattering improves on current methods of purifying laser spectrum.,Optics.org – Latest News,"Wed, 23 Jul 2025 22:07:00 GMT",
432,Raman,ORG,"Macquarie University narrows laser linewidth for quantum computing, atomic clocks",Technique based on Raman scattering improves on current methods of purifying laser spectrum.,Optics.org – Latest News,"Wed, 23 Jul 2025 22:07:00 GMT",
433,NIST,ORG,NIST’s ion clock claims record for ‘most accurate in the world’,"In the latest wave of optical atomic clocks, it is accurate to 19 decimal places.",Optics.org – Latest News,"Wed, 23 Jul 2025 17:07:00 GMT",
434,Nicola Leibinger-Kammüller,PERSON,Trumpf’s annual sales drop 17% to €4.3 billion against previous year,CEO Nicola Leibinger-Kammüller comments that “the lowest point has been reached”.,Optics.org – Latest News,"Wed, 23 Jul 2025 16:07:00 GMT",
435,Zeiss,ORG,Zeiss snaps up SPAD camera pioneer Pi Imaging Technology,Optics giant to incorporate Swiss startup's high-sensitivity detectors into its high-end fluorescence microscopes.,Optics.org – Latest News,"Wed, 23 Jul 2025 11:07:00 GMT",
435,SPAD,ORG,Zeiss snaps up SPAD camera pioneer Pi Imaging Technology,Optics giant to incorporate Swiss startup's high-sensitivity detectors into its high-end fluorescence microscopes.,Optics.org – Latest News,"Wed, 23 Jul 2025 11:07:00 GMT",
435,Pi Imaging Technology Optics,ORG,Zeiss snaps up SPAD camera pioneer Pi Imaging Technology,Optics giant to incorporate Swiss startup's high-sensitivity detectors into its high-end fluorescence microscopes.,Optics.org – Latest News,"Wed, 23 Jul 2025 11:07:00 GMT",
435,Swiss,NORP,Zeiss snaps up SPAD camera pioneer Pi Imaging Technology,Optics giant to incorporate Swiss startup's high-sensitivity detectors into its high-end fluorescence microscopes.,Optics.org – Latest News,"Wed, 23 Jul 2025 11:07:00 GMT",
436,University of North Carolina,ORG,University of North Carolina studies effects of skin pigmentation on oximetry,Details of optical interactions help explain observed bias in real-world results.,Optics.org – Latest News,"Tue, 22 Jul 2025 18:07:00 GMT",
437,EUV,ORG,xLight lands $40M for novel EUV source,"US startup aims to develop free-electron lasers directly emitting EUV light, in place of today’s laser-driven plasma systems.",Optics.org – Latest News,"Tue, 22 Jul 2025 16:07:00 GMT",
437,US,GPE,xLight lands $40M for novel EUV source,"US startup aims to develop free-electron lasers directly emitting EUV light, in place of today’s laser-driven plasma systems.",Optics.org – Latest News,"Tue, 22 Jul 2025 16:07:00 GMT",
437,EUV,ORG,xLight lands $40M for novel EUV source,"US startup aims to develop free-electron lasers directly emitting EUV light, in place of today’s laser-driven plasma systems.",Optics.org – Latest News,"Tue, 22 Jul 2025 16:07:00 GMT",
438,Record 4 Gbps,PERSON,OLEDs light the way to faster longer-distance wireless communication,Record 4 Gbps data transmission using organic LEDs shows potential for long-distance optical communication.,Optics.org – Latest News,"Tue, 22 Jul 2025 15:07:00 GMT",
439,U Penn's,ORG,Open source tool helps vision-language models ‘see’ more clearly,"U Penn's AI-enabled CoSyn creates synthetic diagrams, charts and documents to improve vision processing.",Optics.org – Latest News,"Tue, 22 Jul 2025 15:07:00 GMT",
440,Daimler Truck,ORG,Daimler Truck backs Aeva to scale FMCW lidar production,"Expanded partnership focused on autonomous trucking should see Aeva make 200,000 units per year.",Optics.org – Latest News,"Tue, 22 Jul 2025 14:07:00 GMT",
440,Aeva,GPE,Daimler Truck backs Aeva to scale FMCW lidar production,"Expanded partnership focused on autonomous trucking should see Aeva make 200,000 units per year.",Optics.org – Latest News,"Tue, 22 Jul 2025 14:07:00 GMT",
440,FMCW,ORG,Daimler Truck backs Aeva to scale FMCW lidar production,"Expanded partnership focused on autonomous trucking should see Aeva make 200,000 units per year.",Optics.org – Latest News,"Tue, 22 Jul 2025 14:07:00 GMT",
440,Aeva,GPE,Daimler Truck backs Aeva to scale FMCW lidar production,"Expanded partnership focused on autonomous trucking should see Aeva make 200,000 units per year.",Optics.org – Latest News,"Tue, 22 Jul 2025 14:07:00 GMT",
441,Safer Monitoring,PERSON,Safer Monitoring: Novel Photoacoustic Method Scans Stents Non-Invasively,"In a recent study published in Optics Letters, researchers demonstrated how, for the first time, photoacoustic microscopy can scan stents through skin, possibly giving a safer, more convenient approach to monitor these life-saving implants.",AZoOptics – Photonics,"Mon, 28 Jul 2025 10:11:00 -0400",
441,Optics Letters,ORG,Safer Monitoring: Novel Photoacoustic Method Scans Stents Non-Invasively,"In a recent study published in Optics Letters, researchers demonstrated how, for the first time, photoacoustic microscopy can scan stents through skin, possibly giving a safer, more convenient approach to monitor these life-saving implants.",AZoOptics – Photonics,"Mon, 28 Jul 2025 10:11:00 -0400",
441,scan,NORP,Safer Monitoring: Novel Photoacoustic Method Scans Stents Non-Invasively,"In a recent study published in Optics Letters, researchers demonstrated how, for the first time, photoacoustic microscopy can scan stents through skin, possibly giving a safer, more convenient approach to monitor these life-saving implants.",AZoOptics – Photonics,"Mon, 28 Jul 2025 10:11:00 -0400",
442,RSM,PERSON,RSM: A Breakthrough in Super-Resolution Imaging Technology,"RSM combines innovative optical components for super-resolution microscopy, enhancing imaging capabilities and supporting advancements in biomedical research.",AZoOptics – Photonics,"Fri, 25 Jul 2025 08:59:00 -0400",
